TFrames;DuraciónFr;TSegundos;DuraciónSeg;TMilisegundos;DuraciónMiliseg;INICIO Y FINAL DE POSESIÓN DE BALÓN;MARCADOR;DEFENSA CONTRARIA;SIMETRIA / ASIMETRIA;SECUENCIA OFENSIVA;MEDIOS TÁCTICOS SIMPLES;MEDIOS TÁCTICOS COMPLEJOS DESDOBLAMIENTOS;MEDIOS TÁCTICOS COMPLEJOS CRUCES;CONTRAATAQUE;FINALIZACIÓN
0;4686;0:0:0,00-1;0:3:7,442;-1;187442;;;;;;;;;;;
4686;504;0:3:7,441;0:0:20,189;187441;20189;ON;;;;;;;;;;
5190;87;0:3:27,630;0:0:3,505;207630;3505;;E;SEIS;IGUAL;;;;;;;
5278;1084;0:3:31,135;0:0:43,374;211135;43374;OFF;;;;;;;;;;
6362;133;0:4:14,509;0:0:5,344;254509;5344;ON;;;;;;;;;;
6496;51;0:4:19,853;0:0:2,058;259853;2058;;V1;SEIS;IGUAL;;;;;SEG;;
6547;607;0:4:21,911;0:0:24,289;261911;24289;OFF;;;;;;;;;;
7155;456;0:4:46,200;0:0:18,275;286200;18275;ON;;;;;;;;;;
7611;590;0:5:4,475;0:0:23,600;304475;23600;;E;SEIS;IGUAL;;;;;;;
8201;61;0:5:28,075;0:0:2,476;328075;2476;;E;SEIS;IGUAL;;;;;;;
8263;950;0:5:30,551;0:0:38,008;330551;38008;OFF;;;;;;;;;;
9213;373;0:6:8,559;0:0:14,925;368559;14925;ON;;;;;;;;;;
9587;579;0:6:23,484;0:0:23,175;383484;23175;;P1;SEIS;IGUAL;;;;;;;
10166;334;0:6:46,659;0:0:13,375;406659;13375;;P1;SEIS;IGUAL;;;;;;;
10500;308;0:7:0,034;0:0:12,330;420034;12330;;P1;SEIS;IGUAL;;;;;;;
10809;100;0:7:12,364;0:0:4,000;432364;4000;;P1;SEIS;IGUAL;;;;;;;
10909;2165;0:7:16,364;0:1:26,608;436364;86608;OFF;;;;;;;;;;
13074;331;0:8:42,972;0:0:13,250;522972;13250;ON;;;;;;;;;;
13405;61;0:8:56,222;0:0:2,450;536222;2450;;P1;SEIS;IGUAL;;;;;;;
13466;760;0:8:58,672;0:0:30,437;538672;30437;OFF;;;;;;;;;;
14227;320;0:9:29,109;0:0:12,828;569109;12828;ON;;;;;;;;;;
14548;576;0:9:41,937;0:0:23,047;581937;23047;;P1;SEIS;IGUAL;;;;;;;
15124;373;0:10:4,984;0:0:14,959;604984;14959;;P1;SEIS;IGUAL;;;;;;;
15498;198;0:10:19,943;0:0:7,949;619943;7949;;P1;SEIS;IGUAL;;;;;;;
15697;74;0:10:27,892;0:0:2,975;627892;2975;;P1;SEIS;IGUAL;;;;;;;
15771;1177;0:10:30,867;0:0:47,081;630867;47081;OFF;;;;;;;;;;
16948;352;0:11:17,948;0:0:14,088;677948;14088;ON;;;;;;;;;;
17300;1062;0:11:32,036;0:0:42,498;692036;42498;;E;SEIS;IGUAL;;;;;SEG;;
18363;94;0:12:14,534;0:0:3,777;734534;3777;;E;SEIS;IGUAL;;;;;;;
18457;568;0:12:18,311;0:0:22,754;738311;22754;OFF;;;;;;;;;;
19026;858;0:12:41,065;0:0:34,354;761065;34354;ON;;;;;;;;;;
19885;67;0:13:15,419;0:0:2,700;795419;2700;;E;SEIS;IGUAL;;;;;;;
19952;570;0:13:18,119;0:0:22,829;798119;22829;OFF;;;;;;;;;;
20523;514;0:13:40,948;0:0:20,575;820948;20575;ON;;;;;;;;;;
21038;594;0:14:1,523;0:0:23,775;841523;23775;;P1;SEIS;IGUAL;;;;;;;
21632;362;0:14:25,298;0:0:14,504;865298;14504;;P1;SEIS;IGUAL;;;;;;;
21995;68;0:14:39,802;0:0:2,750;879802;2750;;P1;SEIS;IGUAL;;;;;;;
22063;1505;0:14:42,552;0:1:0,238;882552;60238;OFF;;;;;;;;;;
23569;80;0:15:42,790;0:0:3,222;942790;3222;ON;;;;;;;;;;
23650;62;0:15:46,012;0:0:2,502;946012;2502;;P1;SEIS;IGUAL;;;;;SEG;;
23712;479;0:15:48,514;0:0:19,175;948514;19175;OFF;;;;;;;;;;
24192;472;0:16:7,689;0:0:18,900;967689;18900;ON;;;;;;;;;;
24664;247;0:16:26,589;0:0:9,880;986589;9880;;P2;SEIS;IGUAL;;;;;;;
24911;116;0:16:36,469;0:0:4,649;996469;4649;OFF;;;;;;;;;;
